Date,Deaths,Covid Cases,State 
9/13/2020,1,784,Iowa
9/13/2020,4,837,Ohio
9/13/2020,1,129,Hawaii
9/13/2020,6,695,Oklahoma
9/13/2020,4,181,Oregon
9/13/2020,46,1409,Georgia
9/13/2020,0,76,Pennsylvania
9/13/2020,8,2423,Florida
9/13/2020,2,123,Delaware
9/13/2020,3,99,Rhode Island
9/13/2020,0,40,Washington DC
9/13/2020,24,1886,South Carolina
9/13/2020,0,0,Connecticut
9/13/2020,1,201,South Dakota
9/13/2020,0,415,Colorado
9/13/2020,14,933,Tennessee
9/13/2020,78,4625,California
9/13/2020,47,1845,Texas
9/13/2020,7,384,Arizona
9/13/2020,0,628,Utah
9/13/2020,2,874,Virginia
9/13/2020,12,509,Arkansas
9/13/2020,1,1109,Alabama
9/13/2020,0,7,Vermont
9/13/2020,0,62,Alaska
9/13/2020,0,350,Washington
9/13/2020,1,178,West Virginia
9/13/2020,1,1613,Missouri
9/12/2020,2,347,West Virginia
9/12/2020,15,445,Mississippi
9/12/2020,3,1974,Missouri
9/12/2020,2,140,Montana
9/12/2020,11,807,Michigan
9/12/2020,1,42,Maine
9/12/2020,8,809,Maryland
9/12/2020,16,554,Massachusetts
9/12/2020,0,0,Louisiana
9/12/2020,24,1454,North Carolina
9/12/2020,13,711,Kentucky
9/12/2020,0,467,North Dakota
9/12/2020,0,0,Kansas
9/12/2020,4,468,Nebraska
9/12/2020,17,1056,Indiana
9/12/2020,1,32,New Hampshire
9/12/2020,22,2121,Illinois
9/12/2020,4,449,New Jersey
9/12/2020,5,333,Idaho
9/12/2020,2,134,New Mexico
9/12/2020,6,573,Iowa
9/12/2020,10,414,Nevada
9/12/2020,2,167,Hawaii
9/12/2020,2,849,New York
9/12/2020,8,1242,Ohio
9/12/2020,41,2124,Georgia
9/12/2020,11,1017,Oklahoma
9/12/2020,98,3190,Florida
9/12/2020,6,291,Oregon
9/12/2020,0,260,Delaware
9/12/2020,0,920,Pennsylvania
9/12/2020,0,59,Washington DC
9/12/2020,0,0,Connecticut
9/12/2020,1,94,Rhode Island
9/12/2020,0,307,Colorado
9/12/2020,12,932,South Carolina
9/12/2020,162,4107,California
9/12/2020,6,320,South Dakota
9/12/2020,27,605,Arizona
9/12/2020,39,1032,Tennessee
9/12/2020,146,4233,Texas
9/12/2020,16,727,Arkansas
9/12/2020,2,572,Utah
9/12/2020,17,943,Alabama
9/12/2020,11,1300,Virginia
9/12/2020,1,107,Alaska
9/12/2020,12,1430,Wisconsin
9/12/2020,0,9,Vermont
9/12/2020,0,465,Washington
9/12/2020,9,872,Minnesota
9/12/2020,0,33,Wyoming
9/11/2020,33,1532,North Carolina
9/11/2020,8,122,Montana
9/11/2020,14,853,Mississippi
9/11/2020,0,65,Wyoming
9/11/2020,2,241,North Dakota
9/11/2020,13,467,Minnesota
9/11/2020,6,1405,Michigan
9/11/2020,0,32,Maine
9/11/2020,4,646,Maryland
9/11/2020,14,440,Massachusetts
9/11/2020,9,456,Nebraska
9/11/2020,41,755,Louisiana
9/11/2020,0,47,New Hampshire
9/11/2020,9,932,Kentucky
9/11/2020,9,474,New Jersey
9/11/2020,16,976,Kansas
9/11/2020,3,161,New Mexico
9/11/2020,10,1262,Indiana
9/11/2020,10,260,Nevada
9/11/2020,44,2312,Illinois
9/11/2020,5,880,New York
9/11/2020,1,307,Idaho
9/11/2020,49,1240,Ohio
9/11/2020,4,728,Iowa
9/11/2020,12,942,Oklahoma
9/11/2020,3,169,Hawaii
9/11/2020,2,211,Oregon
9/11/2020,17,1008,Pennsylvania
9/11/2020,42,1658,Georgia
9/11/2020,176,3650,Florida
9/11/2020,4,123,Rhode Island
9/11/2020,0,0,Delaware
9/11/2020,53,2454,South Carolina
9/11/2020,0,81,Washington DC
9/11/2020,0,283,South Dakota
9/11/2020,2,233,Connecticut
9/11/2020,37,1622,Tennessee
9/11/2020,7,265,Colorado
9/11/2020,144,3547,Texas
9/11/2020,111,3326,California
9/11/2020,1,656,Utah
9/11/2020,15,521,Arizona
